experiment_id,epoch,step,tokens_seen,estimated_chars_seen,train_loss,val_loss,test_loss,train_nats_per_char,val_nats_per_char,train_bits_per_char,val_bits_per_char,train_val_gap,best_val_loss_so_far,best_val_bits_per_char_so_far,val_loss_minus_best_so_far,val_bits_minus_best_so_far,lr,grad_norm,elapsed_sec,tokens_per_sec,tokens_per_sec_after_warmup,parameter_count,compute_proxy_param_tokens,estimated_train_flops
E06,3.0,500.0,2048000.0,3962678.0148369656,6.05161,6.1984,6.1984,3.1276064402900787,3.212977863304579,4.51218230125888,4.635347229875534,0.1467900000000002,6.1984,4.635347229875534,0.0,0.0,0.0004,0.620245,10.8283,189134.0,189134.0,3722112.0,7622885376000.0,45737312256000.0
E06,3.0,522.0,2138112.0,4137035.8474897924,5.98917,6.15644,6.15644,3.0953360616417993,3.1912276453218316,4.465625986015398,4.60396829825357,0.16727000000000025,6.15644,4.60396829825357,0.0,0.0,0.0004,0.626847,11.4077,187427.0,187427.0,3722112.0,7958292332544.0,47749753995264.0
E06,4.0,696.0,2850816.0,5516047.7966530565,5.72867,5.96724,5.96724,2.9607038765380724,3.093154689117452,4.271392800222207,4.462478930692192,0.23857000000000017,5.96724,4.462478930692192,0.0,0.0,0.0004,0.786555,15.1398,188299.0,188299.0,3722112.0,10611056443392.0,63666338660352.0
E06,5.0,870.0,3563520.0,6895059.74581632,5.55253,5.88253,5.88253,2.86967081287523,3.049244751907764,4.140059850718895,4.399130282034029,0.33000000000000007,5.88253,4.399130282034029,0.0,0.0,0.0004,0.812397,18.872,188826.0,188826.0,3722112.0,13263820554240.0,79582923325440.0
E07,0.0,0.0,0.0,0.0,8.0322,8.03284,8.03284,4.687318085286839,4.689776677504977,6.762370556712474,6.765917555513149,0.0006400000000006401,8.03284,6.765917555513149,0.0,0.0,0.0004,,0.0,0.0,0.0,1576192.0,0.0,0.0
E07,1.0,196.0,802816.0,1375707.5064824396,6.7621,6.77877,6.77877,3.946131025686379,3.957618656436629,5.693063661455818,5.7096368093707675,0.01666999999999952,6.77877,5.7096368093707675,0.0,0.0,0.0004,0.359803,4.24208,189250.0,189250.0,1576192.0,1265392156672.0,7592352940032.0
E07,2.0,392.0,1605632.0,2751415.012964879,5.8044,5.86311,5.86311,3.387249955708141,3.4230330164233576,4.886768713351496,4.938392757593168,0.058709999999999596,5.86311,4.938392757593168,0.0,0.0,0.0004,0.573783,8.15695,196842.0,196842.0,1576192.0,2530784313344.0,15184705880064.0
E07,3.0,500.0,2048000.0,3509457.924700101,5.60486,5.68012,5.68012,3.27080521444944,3.316198791639018,4.71877446259997,4.784263551299584,0.07525999999999922,5.68012,4.784263551299584,0.0,0.0,0.0004,0.619334,10.4812,195398.0,195398.0,1576192.0,3228041216000.0,19368247296000.0
E07,3.0,588.0,2408448.0,4127122.5194473187,5.49,5.58153,5.58153,3.203776834270156,3.258639437458527,4.622072950916497,4.701222956466618,0.09152999999999967,5.58153,4.701222956466618,0.0,0.0,0.0004,0.670119,12.3719,194670.0,194670.0,1576192.0,3796176470016.0,22777058820096.0
E07,4.0,784.0,3211264.0,5502830.025929758,5.3277,5.46067,5.46067,3.1090640874209674,3.1880782898142006,4.4854313407282005,4.599424738680715,0.13297000000000025,5.46067,4.599424738680715,0.0,0.0,0.0004,0.658529,16.2981,197033.0,197033.0,1576192.0,5061568626688.0,30369411760128.0
E07,5.0,980.0,4014080.0,6878537.532412198,5.24061,5.39211,5.39211,3.058241332503556,3.1480512148307898,4.412109604244536,4.541677876100858,0.15149999999999952,5.39211,4.541677876100858,0.0,0.0,0.0004,0.735005,20.1831,198884.0,198884.0,1576192.0,6326960783360.0,37961764700160.0
E08,0.0,0.0,0.0,0.0,8.05613,8.05632,8.05632,4.701282817462446,4.703484899800928,6.782517406569565,6.785694339838923,0.00018999999999991246,8.05632,6.785694339838923,0.0,0.0,0.0004,,0.0,0.0,0.0,4725248.0,0.0,0.0
E08,1.0,196.0,802816.0,1375707.5064824396,6.83147,6.85688,6.85688,3.986612992716128,4.0032212647644325,5.751466794535068,5.775427466256891,0.025409999999999933,6.85688,5.775427466256891,0.0,0.0,0.0004,0.621073,4.29191,187053.0,187053.0,4725248.0,3793504698368.0,22761028190208.0
